review_id,date,rating,guest_name,text
REV-001,2026-07-06,5,Sophie L.,The truffle pasta was incredible and the service was warm and attentive. Will be back!
REV-002,2026-07-06,4,Ahmed K.,"Great steak frites, but we waited a while for the bill at the end of the night."
REV-003,2026-07-06,5,Elena P.,Cozy atmosphere and the burrata caprese was fresh and delicious.
REV-004,2026-07-05,3,James T.,Food was good but nobody offered us dessert and the table felt rushed.
REV-005,2026-07-05,5,Fatima A.,Best lamb ragu in Dubai. Excellent portion size and value.
REV-006,2026-07-04,2,Chris N.,Salmon was overcooked and slow service during dinner rush.
REV-007,2026-07-04,4,Nadia S.,"Lovely evening, the espresso martini was a nice touch to end the meal."
REV-008,2026-07-03,5,Omar F.,Truffle arancini is a must order. Staff were friendly and attentive.
REV-009,2026-07-03,4,Julia R.,"Solid Italian food, wish they mentioned dessert options before clearing plates."
REV-010,2026-07-02,2,Yusuf A.,"Table turnover felt slow, waited 15 minutes just to order."
REV-011,2026-07-02,5,Priya V.,"Wonderful date night spot, the pasta and wine pairing was perfect."
REV-012,2026-07-01,4,Daniel W.,"Good food overall, Caesar salad was fresh and generous."
